ADDRESS,CAMERA_ID,VIOLATION DATE,VIOLATIONS,X COORDINATE,Y COORDINATE,LATITUDE,LONGITUDE,LOCATION,Historical Wards 2003-2015,Zip Codes,Community Areas,Census Tracts,Wards
1142 W IRVING PARK,CHI095,04/17/2019,65,1167789.528738809,1926747.106564999,41.954540866,-87.658572521,"(41.95454086624301, -87.65857252142276)",37,21186,31,241,39
115 N OGDEN,CHI077,04/17/2019,14,1166484.901862159,1900735.486524538,41.883191521,-87.6641147,"(41.883191521391076, -87.66411469955516)",41,14917,29,63,46
1315 W GARFIELD BLVD,CHI121,04/17/2019,38,1168444.530011629,1868118.434806125,41.793645091,-87.657860764,"(41.793645091444645, -87.6578607639445)",19,22257,65,297,2
1334 W GARFIELD BLVD,CHI119,04/17/2019,4,1168211.288538348,1868328.465645528,41.794226466,-87.658709999,"(41.79422646635146, -87.65870999891658)",19,14924,59,790,4
140 N ASHLAND,CHI076,04/17/2019,4,1165683.996995108,1901211.265605895,41.884514197,-87.667042094,"(41.88451419700416, -87.66704209415728)",41,21184,29,579,46
141 N ASHLAND,CHI075,04/17/2019,14,1165763.976938881,1901213.056860738,41.884517408,-87.666748347,"(41.88451740794813, -87.66674834697315)",41,14917,29,63,46
1444 W DIVISION ST,CHI183,04/17/2019,35,1166380.904932347,1908131.72173424,41.903489549,-87.664284801,"(41.90348954857849, -87.66428480094734)",24,22620,25,483,11
1455 W DIVISION ST,CHI182,04/17/2019,52,1166307.374769345,1908050.267817099,41.903267607,-87.664557225,"(41.9032676068914, -87.66455722501276)",41,22620,25,484,46
14 W CHICAGO AVE,CHI139,04/17/2019,3,1176065.949659871,1905763.820506745,41.896779127,-87.628781249,"(41.89677912747405, -87.6287812485988)",22,4446,37,230,11
1507 W 83rd ST,CHI170,04/17/2019,4,1167695.170326354,1849654.229221654,41.742993035,-87.66113776,"(41.742993034938884, -87.66113775973551)",18,21554,70,531,13
1754 N PULASKI RD,CHI157,04/17/2019,12,1149394.77705002,1911607.800369421,41.913374831,-87.7265886,"(41.91337483050126, -87.72658859994081)",27,22615,24,285,49
1901 E 75TH ST,CHI138,04/17/2019,15,1190192.110150425,1855579.523137741,41.75874077,-87.57851859,"(41.758740770124234, -87.57851859043261)",9,22538,39,188,35
19 W CHICAGO AVE,CHI133,04/17/2019,1,1176000.008484107,1905682.004927479,41.896556107,-87.629025904,"(41.89655610710888, -87.62902590382873)",22,4446,37,669,11
2080 W PERSHING,CHI005,04/17/2019,6,1163048.143263149,1878842.85060012,41.823188825,-87.677348795,"(41.823188824691925, -87.67734879498818)",26,14924,56,719,1
2416 W 103RD ST,CHI154,04/17/2019,11,1161995.609362911,1836307.312617193,41.706487201,-87.682391059,"(41.70648720051648, -87.68239105927896)",33,4447,71,661,42
2417 W 103RD ST,CHI165,04/17/2019,2,1161996.101263966,1836227.314129496,41.706267661,-87.682391472,"(41.70626766073214, -87.68239147238012)",33,4447,71,553,42
2432 N ASHLAND,CHI092,04/17/2019,9,1165215.788124507,1916401.754298868,41.926207903,-87.668328977,"(41.92620790295943, -87.66832897708693)",16,21190,68,743,40
2443 N ASHLAND,CHI091,04/17/2019,22,1165293.159880782,1916479.221767233,41.926418831,-87.668042465,"(41.926418831263994, -87.66804246498943)",16,21190,68,770,40
2448 N CLYBOURN AVE,CHI090,04/17/2019,11,1164505.928359546,1916376.376809816,41.926153343,-87.670938087,"(41.926153342916486, -87.67093808722792)",16,21190,68,743,40
2513 W 55TH,CHI070,04/17/2019,4,1160431.748869934,1868077.674728872,41.793702249,-87.687244272,"(41.79370224937009, -87.68724427195639)",19,22248,61,112,3
2705 W IRVING PARK,CHI079,04/17/2019,38,1157555.242825448,1926426.21147583,41.953875265,-87.696204089,"(41.95387526461699, -87.69620408862693)",2,21538,16,372,20
2712 W IRVING PARK,CHI080,04/17/2019,3,1157447.913673397,1926504.636730878,41.954092657,-87.696596502,"(41.954092657149786, -87.6965965016668)",2,21538,16,116,20
2900 W OGDEN,CHI021,04/17/2019,73,1157135.919535262,1892361.67589724,41.860407864,-87.698672099,"(41.86040786445197, -87.69867209877323)",36,21569,30,132,14
2912 W ROOSEVELT,CHI020,04/17/2019,20,1157040.212662274,1894612.12813304,41.866585283,-87.698962375,"(41.86658528313424, -87.69896237494204)",11,21184,30,35,23
2917 W ROOSEVELT,CHI019,04/17/2019,50,1156991.618473341,1894531.138408719,41.866364024,-87.699142966,"(41.866364024167034, -87.69914296647906)",36,21569,30,132,14
2928 S HALSTED,CHI117,04/17/2019,4,1171407.142701029,1885330.617606942,41.840812626,-87.64649261,"(41.84081262592384, -87.64649261049526)",26,14920,58,59,48
3034 W FOSTER,CHI025,04/17/2019,16,1155157.924620047,1934429.028230766,41.97588404,-87.704801123,"(41.9758840401294, -87.70480112338926)",46,21849,13,167,24
3047 W JACKSON BLVD,CHI122,04/17/2019,7,1155924.803933969,1898487.691160325,41.877242774,-87.702952689,"(41.877242773826396, -87.7029526885659)",11,21184,28,737,23
3100 W AUGUSTA,CHI011,04/17/2019,14,1155438.362612354,1906531.350675229,41.899325141,-87.704522346,"(41.89932514072566, -87.70452234551168)",10,21560,25,301,49
3115 N NARRAGANSETT AVE,CHI104,04/17/2019,6,1133239.690118249,1920090.5748641,41.936950842,-87.785740891,"(41.93695084197675, -87.78574089058974)",39,22254,19,81,44
3137 W PETERSON,CHI024,04/17/2019,39,1154183.287274807,1939668.834930217,41.990281914,-87.708244626,"(41.9902819135942, -87.70824462568225)",46,4450,20,65,24
3200 S ARCHER AVE,CHI144,04/17/2019,55,1165344.912712872,1883513.817021857,41.835958018,-87.668790267,"(41.83595801848586, -87.66879026653764)",26,14920,56,192,26
