ward,Register Voters,Ballots Cast,Turnout %
1,"36,862","12,510",33.94%
2,"39,995","13,738",34.35%
3,"37,694","13,629",36.16%
4,"36,065","14,435",40.02%
5,"31,778","13,443",42.30%
6,"32,682","10,423",31.89%
7,"32,129","10,396",32.36%
8,"37,470","13,874",37.03%
9,"36,294","11,654",32.11%
10,"26,883","8,532",31.74%
11,"28,300","10,640",37.60%
12,"28,355","12,702",44.80%
13,"28,355","12,702",44.80%
14,"21,290","7,336",34.46%
15,"18,989","5,192",27.34%
16,"24,882","5,729",23.02%
17,"29,727","8,146",27.40%
18,"33,866","12,216",36.07%
19,"37,453","21,375",57.07%
20,"25,924","7,744",29.87%
21,"37,638","12,700",33.74%
22,"20,304","5,006",24.66%
23,"25,797","9,175",35.57%
24,"26,881","6,569",24.44%
25,"29,680","10,116",34.08%
26,"29,138","8,985",30.84%
27,"37,398","10,603",28.35%
28,"33,061","8,484",25.66%
29,"36,132","10,962",30.34%
30,"25,724","7,571",29.43%
31,"24,865","6,565",26.40%
32,"37,261","13,445",36.08%
33,"27,606","11,086",40.16%
34,"37,053","11,892",32.09%
35,"25,920","8,072",31.14%
36,"24,528","5,864",23.91%
37,"31,660","7,839",24.76%
38,"33,342","11,032",33.09%
39,"32,971","13,464",40.84%
40,"32,112","13,542",42.17%
41,"37,201","18,014",48.42%
42,"43,577","13,729",31.51%
43,"36,088","14,530",40.26%
44,"38,133","15,422",40.44%
45,"35,102","15,013",42.77%
46,"34,656","14,217",41.02%
47,"39,593","19,678",49.70%
48,"34,185","15,450",45.20%
49,"29,160","12,531",42.97%
50,"27,964","9,377",33.53%
