Ward,Register Voters,Ballots Cast,Turnout %
1,"37,225","10,859",29.17%
2,"40,179","12,880",32.06%
3,"37,958","13,268",34.95%
4,"36,315","14,495",39.91%
5,"32,066","13,869",43.25%
6,"32,899","11,311",34.38%
7,"32,349","10,495",32.44%
8,"37,630","14,140",37.58%
9,"36,430","11,845",32.51%
10,"27,016","6,467",23.94%
11,"28,497","8,749",30.70%
12,"20,530","4,117",20.05%
13,"28,541","8,507",29.81%
14,"21,487","4,724",21.99%
15,"19,112","5,402",28.26%
16,"25,031","5,880",23.49%
17,"29,859","8,257",27.65%
18,"34,007","11,522",33.88%
19,"37,661","18,963",50.35%
20,"26,261","7,794",29.68%
21,"37,773","13,690",36.24%
22,"20,386","3,762",18.45%
23,"25,909","6,912",26.68%
24,"27,199","6,588",24.22%
25,"29,940","9,804",32.75%
26,"29,340","7,340",25.02%
27,"37,808","10,464",27.68%
28,"33,390","8,358",25.03%
29,"36,240","11,149",30.76%
30,"25,911","7,966",30.74%
31,"25,011","6,693",26.76%
32,"37,517","12,685",33.81%
33,"27,834","11,552",41.50%
34,"37,257","12,101",32.48%
35,"26,062","6,961",26.71%
36,"24,704","5,560",22.51%
37,"31,781","7,839",24.67%
38,"33,493","10,159",30.33%
39,"33,111","13,468",40.68%
40,"32,313","14,072",43.55%
41,"37,401","14,935",39.93%
42,"43,894","13,145",29.95%
43,"36,449","14,143",38.80%
44,"38,496","13,557",35.22%
45,"35,302","12,359",35.01%
46,"34,981","14,307",40.90%
47,"39,870","19,151",48.03%
48,"34,381","14,899",43.33%
49,"29,712","10,401",35.01%
50,"28,140","7,798",27.71%
